temperature_1,temperature_2,temperature_3,pressure_1,pressure_2,ultrasonic
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.34,26.48,685.15,0.29,600.95
26.29,27.34,26.48,685.15,0.29,600.95
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.34,26.48,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.3,599.52
26.29,27.34,26.48,685.15,0.3,599.52
26.29,27.34,26.48,685.15,0.29,595.43
26.29,27.34,26.48,685.15,0.29,595.43
26.29,27.34,26.48,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.3,594.0
26.29,27.34,26.48,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.29,600.95
26.29,27.31,26.48,685.15,0.29,600.95
26.29,27.34,26.48,685.15,0.3,592.77
26.29,27.34,26.48,685.15,0.3,592.77
26.29,27.34,26.46,685.15,0.3,587.05
26.29,27.34,26.46,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.3,593.8
26.29,27.34,26.48,685.15,0.3,593.8
26.29,27.31,26.46,685.15,0.29,600.95
26.29,27.31,26.46,685.15,0.29,600.95
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.34,26.48,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,587.05
26.29,27.34,26.48,685.15,0.29,594.0
26.29,27.34,26.48,685.15,0.29,594.0
26.29,27.31,26.5,685.15,0.3,600.95
26.29,27.31,26.5,685.15,0.3,600.95
26.29,27.38,26.46,685.15,0.3,587.46
26.29,27.38,26.46,685.15,0.3,587.46
26.29,27.31,26.49,685.15,0.3,586.64
26.29,27.31,26.49,685.15,0.3,586.64
26.29,27.34,26.48,685.15,0.29,587.05
26.29,27.34,26.48,685.15,0.29,587.05
26.29,27.31,26.46,685.15,0.3,595.23
26.29,27.31,26.46,685.15,0.3,595.23
26.29,27.34,26.48,685.15,0.3,600.95
26.29,27.34,26.48,685.15,0.3,600.95
26.29,27.31,26.46,685.15,0.3,591.34
26.29,27.31,26.46,685.15,0.3,591.34
26.29,27.31,26.5,685.15,0.3,587.05
26.29,27.31,26.5,685.15,0.3,587.05
26.29,27.34,26.45,685.15,0.29,587.05
26.29,27.34,26.45,685.15,0.29,587.05
26.29,27.31,26.48,685.15,0.3,596.66
26.29,27.31,26.48,685.15,0.3,596.66
26.29,27.31,26.48,685.15,0.29,600.95
26.29,27.31,26.48,685.15,0.29,600.95
26.29,27.34,26.48,685.15,0.33,594.0
26.29,27.34,26.48,685.15,0.33,594.0
26.29,27.31,26.48,685.15,0.32,587.05
26.29,27.31,26.48,685.15,0.32,587.05
26.29,27.38,26.46,685.15,0.32,587.05
26.29,27.38,26.46,685.15,0.32,587.05
26.29,27.31,26.49,685.15,0.32,588.69
26.29,27.31,26.49,685.15,0.32,588.69
26.29,27.31,26.48,685.15,0.29,600.95
26.29,27.31,26.48,685.15,0.29,600.95
26.29,27.31,26.49,685.15,0.3,594.2
26.29,27.31,26.49,685.15,0.3,594.2
26.29,27.31,26.48,685.15,0.29,587.05
26.29,27.31,26.48,685.15,0.29,587.05
26.29,27.34,26.46,685.15,0.32,587.05
26.29,27.34,26.46,685.15,0.32,587.05
26.29,27.31,26.46,685.15,0.31,587.05
26.29,27.31,26.46,685.15,0.31,587.05
26.29,27.31,26.46,685.15,0.3,594.0
26.29,27.31,26.46,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.3,600.95
26.29,27.31,26.48,685.15,0.3,600.95
26.29,27.31,26.48,685.15,0.29,594.0
26.29,27.31,26.48,685.15,0.29,594.0
26.29,27.34,26.46,685.15,0.3,587.05
26.29,27.34,26.46,685.15,0.3,587.05
26.29,27.24,26.49,685.15,0.3,587.05
26.29,27.24,26.49,685.15,0.3,587.05
26.66,27.34,26.84,685.15,0.55,600.95
26.66,27.34,26.84,685.15,0.55,600.95
26.66,27.24,26.86,685.15,0.55,607.9
26.66,27.24,26.86,685.15,0.55,607.9
26.66,27.34,26.84,685.15,0.56,595.02
26.66,27.34,26.84,685.15,0.56,595.02
26.66,27.31,26.84,685.15,0.55,594.0
26.66,27.31,26.84,685.15,0.55,594.0
26.66,27.31,26.84,685.15,0.56,596.66
26.66,27.31,26.84,685.15,0.56,596.66
26.66,27.31,26.84,685.15,0.55,607.9
26.66,27.31,26.84,685.15,0.55,607.9
26.66,27.34,26.83,685.15,0.56,600.95
26.66,27.34,26.83,685.15,0.56,600.95
26.66,27.31,26.84,685.15,0.54,594.0
26.66,27.31,26.84,685.15,0.54,594.0
26.66,27.31,26.83,685.15,0.55,594.0
26.66,27.31,26.83,685.15,0.55,594.0
26.66,27.31,26.84,685.15,0.54,601.36
26.66,27.31,26.84,685.15,0.54,601.36
26.66,27.31,26.83,685.15,0.55,600.95
26.66,27.31,26.83,685.15,0.55,600.95
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.29,587.05
26.29,27.31,26.46,685.15,0.29,587.05
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.45,685.15,0.3,600.95
26.29,27.31,26.45,685.15,0.3,600.95
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.34,26.45,685.15,0.3,587.05
26.29,27.34,26.45,685.15,0.3,587.05
26.29,27.24,26.49,685.15,0.3,594.0
26.29,27.24,26.49,685.15,0.3,594.0
26.29,27.34,26.45,685.15,0.3,600.54
26.29,27.34,26.45,685.15,0.3,600.54
26.29,27.31,26.46,685.15,0.3,594.0
26.29,27.31,26.46,685.15,0.3,594.0
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.31,26.48,685.15,0.3,594.0
26.29,27.34,26.45,685.15,0.3,600.95
26.29,27.34,26.45,685.15,0.3,600.95
26.29,27.24,26.45,685.15,0.3,595.63
26.29,27.24,26.45,685.15,0.3,595.63
26.29,27.31,26.46,685.15,0.3,593.39
26.29,27.31,26.46,685.15,0.3,593.39
26.29,27.34,26.45,685.15,0.29,587.05
26.29,27.34,26.45,685.15,0.29,587.05
26.29,27.24,26.48,685.15,0.3,587.05
26.29,27.24,26.48,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.29,594.0
26.29,27.31,26.46,685.15,0.29,594.0
26.29,27.31,26.46,685.15,0.3,600.95
26.29,27.31,26.46,685.15,0.3,600.95
26.29,27.24,26.49,685.15,0.3,597.27
26.29,27.24,26.49,685.15,0.3,597.27
26.29,27.31,26.44,685.15,0.3,592.36
26.29,27.31,26.44,685.15,0.3,592.36
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.29,587.05
26.29,27.31,26.45,685.15,0.29,587.05
26.29,27.34,26.45,685.15,0.3,594.0
26.29,27.34,26.45,685.15,0.3,594.0
26.29,27.24,26.46,685.15,0.3,600.95
26.29,27.24,26.46,685.15,0.3,600.95
26.29,27.31,26.46,685.15,0.3,594.2
26.29,27.31,26.46,685.15,0.3,594.2
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.24,26.49,685.15,0.3,587.05
26.29,27.24,26.49,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.46,685.15,0.3,594.0
26.29,27.31,26.46,685.15,0.3,594.0
26.29,27.24,26.48,685.15,0.3,600.95
26.29,27.24,26.48,685.15,0.3,600.95
26.29,27.34,26.44,685.15,0.3,597.27
26.29,27.34,26.44,685.15,0.3,597.27
26.29,27.24,26.46,685.15,0.3,588.48
26.29,27.24,26.46,685.15,0.3,588.48
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.34,26.45,685.15,0.29,587.05
26.29,27.34,26.45,685.15,0.29,587.05
26.29,27.24,26.45,685.15,0.3,587.66
26.29,27.24,26.45,685.15,0.3,587.66
26.29,27.31,26.46,685.15,0.3,600.95
26.29,27.31,26.46,685.15,0.3,600.95
26.29,27.31,26.44,685.15,0.3,597.47
26.29,27.31,26.44,685.15,0.3,597.47
26.29,27.24,26.48,685.15,0.29,594.0
26.29,27.24,26.48,685.15,0.29,594.0
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.24,26.48,685.15,0.29,591.34
26.29,27.24,26.48,685.15,0.29,591.34
26.29,27.31,26.44,685.15,0.3,600.33
26.29,27.31,26.44,685.15,0.3,600.33
26.29,27.24,26.45,685.15,0.3,600.33
26.29,27.24,26.45,685.15,0.3,600.33
26.29,27.24,26.46,685.15,0.3,594.0
26.29,27.24,26.46,685.15,0.3,594.0
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.24,26.48,685.15,0.3,587.05
26.29,27.24,26.48,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,588.28
26.29,27.31,26.45,685.15,0.3,588.28
26.29,27.31,26.44,685.15,0.3,594.0
26.29,27.31,26.44,685.15,0.3,594.0
26.29,27.31,26.44,685.15,0.3,595.63
26.29,27.31,26.44,685.15,0.3,595.63
26.29,27.24,26.45,685.15,0.3,600.95
26.29,27.24,26.45,685.15,0.3,600.95
26.29,27.24,26.45,685.15,0.29,600.95
26.29,27.24,26.45,685.15,0.29,600.95
26.29,27.31,26.44,685.15,0.3,599.31
26.29,27.31,26.44,685.15,0.3,599.31
26.29,27.31,26.44,685.15,0.3,594.0
26.29,27.31,26.43,685.15,0.3,593.18
26.29,27.31,26.43,685.15,0.3,593.18
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.24,26.45,685.15,0.3,586.64
26.29,27.24,26.45,685.15,0.3,586.64
26.29,27.24,26.45,685.15,0.3,585.62
26.29,27.24,26.45,685.15,0.3,585.62
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.34,26.43,685.15,0.3,587.05
26.29,27.34,26.43,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.24,26.43,685.15,0.29,590.32
26.29,27.24,26.43,685.15,0.29,590.32
26.29,27.24,26.46,685.15,0.29,594.0
26.29,27.24,26.46,685.15,0.29,594.0
26.29,27.31,26.44,685.15,0.3,597.27
26.29,27.31,26.44,685.15,0.3,597.27
26.29,27.31,26.43,685.15,0.3,600.95
26.29,27.31,26.43,685.15,0.3,600.95
26.29,27.34,26.43,685.15,0.3,600.95
26.29,27.34,26.43,685.15,0.3,600.95
26.29,27.31,26.43,685.15,0.29,600.54
26.29,27.31,26.43,685.15,0.29,600.54
26.29,27.31,26.44,685.15,0.3,597.68
26.29,27.31,26.44,685.15,0.3,597.68
26.29,27.24,26.44,685.15,0.3,594.0
26.29,27.24,26.44,685.15,0.3,594.0
26.29,27.24,26.46,685.15,0.3,591.34
26.29,27.24,26.46,685.15,0.3,591.34
26.29,27.31,26.43,685.15,0.29,587.05
26.29,27.31,26.43,685.15,0.29,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.34,26.42,685.15,0.3,587.05
26.29,27.34,26.42,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.24,26.45,685.15,0.3,587.05
26.29,27.24,26.45,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.29,587.05
26.29,27.31,26.44,685.15,0.29,587.05
26.29,27.31,26.43,685.15,0.29,589.71
26.29,27.31,26.43,685.15,0.29,589.71
26.29,27.34,26.43,685.15,0.3,594.0
26.29,27.34,26.43,685.15,0.3,594.0
26.29,27.31,26.44,685.15,0.29,596.66
26.29,27.31,26.44,685.15,0.29,596.66
26.29,27.24,26.44,685.15,0.3,598.29
26.29,27.24,26.44,685.15,0.3,598.29
26.29,27.24,26.45,685.15,0.29,600.95
26.29,27.24,26.45,685.15,0.29,600.95
26.29,27.31,26.44,685.15,0.3,594.82
26.29,27.31,26.44,685.15,0.3,594.82
26.29,27.34,26.42,685.15,0.29,594.0
26.29,27.34,26.42,685.15,0.29,594.0
26.29,27.31,26.44,685.15,0.3,592.36
26.29,27.31,26.44,685.15,0.3,592.36
26.29,27.24,26.43,685.15,0.3,587.05
26.29,27.24,26.43,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,586.85
26.29,27.31,26.45,685.15,0.3,586.85
26.29,27.31,26.44,685.15,0.29,587.05
26.29,27.31,26.44,685.15,0.29,587.05
26.29,27.34,26.42,685.15,0.3,587.05
26.29,27.34,26.42,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.31,26.45,685.15,0.3,587.05
26.29,27.24,26.43,685.15,0.3,594.0
26.29,27.24,26.43,685.15,0.3,594.0
26.29,27.24,26.46,685.15,0.3,594.0
26.29,27.24,26.46,685.15,0.3,594.0
26.29,27.31,26.44,685.15,0.29,597.27
26.29,27.31,26.44,685.15,0.29,597.27
26.29,27.24,26.44,685.15,0.3,600.95
26.29,27.24,26.44,685.15,0.3,600.95
26.29,27.34,26.43,685.15,0.3,600.95
26.29,27.34,26.43,685.15,0.3,600.95
26.29,27.31,26.44,685.15,0.3,599.31
26.29,27.31,26.44,685.15,0.3,599.31
26.29,27.31,26.43,685.15,0.3,594.0
26.29,27.31,26.43,685.15,0.3,594.0
26.29,27.24,26.44,685.15,0.29,594.0
26.29,27.24,26.44,685.15,0.29,594.0
26.29,27.24,26.46,685.15,0.3,594.0
26.29,27.24,26.46,685.15,0.3,594.0
26.29,27.31,26.44,685.15,0.3,588.28
26.29,27.31,26.44,685.15,0.3,588.28
26.29,27.31,26.44,685.15,0.29,587.05
26.29,27.31,26.44,685.15,0.29,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.34,26.43,685.15,0.29,587.05
26.29,27.34,26.43,685.15,0.29,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.31,26.43,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.43,685.15,0.29,587.05
26.29,27.31,26.43,685.15,0.29,587.05
26.29,27.24,26.45,685.15,0.3,587.05
26.29,27.24,26.45,685.15,0.3,587.05
26.29,27.24,26.45,685.15,0.29,587.05
26.29,27.24,26.45,685.15,0.29,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
26.29,27.31,26.44,685.15,0.3,587.05
25.92,27.31,26.13,685.15,0.11,580.92
25.92,27.31,26.13,685.15,0.11,580.92
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.34,26.12,685.15,0.09,587.05
25.92,27.34,26.12,685.15,0.09,587.05
25.92,27.34,26.13,685.15,0.09,587.05
25.92,27.34,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.15,685.15,0.09,587.05
25.92,27.31,26.15,685.15,0.09,587.05
25.92,27.31,26.12,685.15,0.09,581.74
25.92,27.31,26.12,685.15,0.09,581.74
25.92,27.31,26.13,685.15,0.09,585.83
25.92,27.31,26.13,685.15,0.09,585.83
25.92,27.31,26.13,685.15,0.09,580.51
25.92,27.31,26.13,685.15,0.09,580.51
25.92,27.31,26.12,685.15,0.09,580.51
25.92,27.31,26.12,685.15,0.09,580.51
25.92,27.34,26.12,685.15,0.09,580.1
25.92,27.34,26.12,685.15,0.09,580.1
25.92,27.34,26.12,685.15,0.09,581.33
25.92,27.34,26.12,685.15,0.09,581.33
25.92,27.31,26.13,685.15,0.11,580.51
25.92,27.31,26.13,685.15,0.11,580.51
25.92,27.31,26.12,685.15,0.09,581.33
25.92,27.31,26.12,685.15,0.09,581.33
25.92,27.31,26.13,685.15,0.09,585.62
25.92,27.31,26.13,685.15,0.09,585.62
25.92,27.31,26.12,685.15,0.09,587.05
25.92,27.31,26.12,685.15,0.09,587.05
25.92,27.24,26.16,685.15,0.09,587.05
25.92,27.24,26.16,685.15,0.09,587.05
25.92,27.24,26.13,685.15,0.09,594.0
25.92,27.24,26.13,685.15,0.09,594.0
25.92,27.31,26.13,685.15,0.09,594.0
25.92,27.31,26.13,685.15,0.09,594.0
25.93,27.31,26.13,685.15,0.09,594.0
25.93,27.31,26.13,685.15,0.09,594.0
25.92,27.31,26.13,685.15,0.09,597.47
25.92,27.31,26.13,685.15,0.09,597.47
25.92,27.34,26.12,685.15,0.09,590.53
25.92,27.34,26.12,685.15,0.09,590.53
25.92,27.31,26.12,685.15,0.09,587.05
25.92,27.31,26.12,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.31,26.13,685.15,0.09,587.05
25.92,27.24,26.15,685.15,0.09,580.1
25.92,27.24,26.15,685.15,0.09,580.1
25.92,27.24,26.15,685.15,0.09,583.78
25.92,27.24,26.15,685.15,0.09,583.78
25.92,27.31,26.13,685.15,0.09,580.1
25.94,27.49,26.23,685.15,0.09,587.66
25.94,27.49,26.23,685.15,0.09,587.66
26.11,27.38,26.25,685.15,0.11,587.26
26.11,27.38,26.25,685.15,0.11,587.26
25.92,27.38,26.23,685.15,0.09,587.05
25.92,27.38,26.23,685.15,0.09,587.05
25.92,27.38,26.26,685.15,0.09,587.05
25.92,27.38,26.26,685.15,0.09,587.05
25.92,27.38,26.25,685.15,0.09,580.72
25.92,27.38,26.25,685.15,0.09,580.72
25.92,27.42,26.24,685.15,0.09,580.1
25.92,27.42,26.24,685.15,0.09,580.1
26.11,27.38,26.26,685.15,0.12,587.05
26.11,27.38,26.26,685.15,0.12,587.05
26.11,27.42,26.25,685.15,0.12,587.05
26.11,27.42,26.25,685.15,0.12,587.05
26.06,27.42,26.25,685.15,0.09,587.66
26.06,27.42,26.25,685.15,0.09,587.66
26.06,27.42,26.24,685.15,0.11,594.0
26.06,27.42,26.24,685.15,0.11,594.0
26.28,27.49,26.24,685.15,0.09,594.0
26.28,27.49,26.24,685.15,0.09,594.0
26.01,27.42,26.25,685.15,0.11,594.0
26.01,27.42,26.25,685.15,0.11,594.0
26.29,27.42,26.26,685.15,0.09,594.0
26.29,27.42,26.26,685.15,0.09,594.0
26.29,27.42,26.25,685.15,0.09,598.09
26.29,27.42,26.25,685.15,0.09,598.09
26.29,27.38,26.25,685.15,0.09,594.2
26.29,27.38,26.25,685.15,0.09,594.2
26.25,27.38,26.25,685.15,0.09,594.0
26.25,27.38,26.25,685.15,0.09,594.0
26.26,27.38,26.27,685.15,0.11,595.84
26.26,27.38,26.27,685.15,0.11,595.84
26.07,27.38,26.27,685.15,0.09,594.41
26.07,27.38,26.27,685.15,0.09,594.41
26.29,27.38,26.27,685.15,0.09,594.2
26.29,27.38,26.27,685.15,0.09,594.2
26.01,27.38,26.26,685.15,0.09,594.0
26.01,27.38,26.26,685.15,0.09,594.0
26.29,27.42,26.26,685.15,0.11,597.47
26.29,27.42,26.26,685.15,0.11,597.47
26.29,27.42,26.25,685.15,0.09,594.0
26.29,27.42,26.25,685.15,0.09,594.0
26.01,27.42,26.26,685.15,0.09,594.0
26.01,27.42,26.26,685.15,0.09,594.0
26.29,27.38,26.26,685.15,0.09,594.0
26.29,27.38,26.26,685.15,0.09,594.0
26.29,27.38,26.26,685.15,0.09,594.0
26.29,27.38,26.26,685.15,0.09,594.0
26.29,27.42,26.26,685.15,0.11,594.0
26.29,27.42,26.26,685.15,0.11,594.0
26.29,27.42,26.26,685.15,0.09,594.0
26.29,27.42,26.26,685.15,0.09,594.0
26.29,27.42,26.25,685.15,0.09,594.0
26.29,27.42,26.25,685.15,0.09,594.0
26.29,27.49,26.25,685.15,0.09,594.0
26.29,27.49,26.25,685.15,0.09,594.0
26.27,27.49,26.26,685.15,0.11,594.0
26.27,27.49,26.26,685.15,0.11,594.0
26.29,27.49,26.25,685.15,0.09,594.41
26.29,27.49,26.25,685.15,0.09,594.41
25.93,27.49,26.26,685.15,0.09,594.0
25.93,27.49,26.26,685.15,0.09,594.0
26.23,27.49,26.26,685.15,0.09,594.0
26.23,27.49,26.26,685.15,0.09,594.0
26.29,27.49,26.26,685.15,0.09,594.2
26.29,27.49,26.26,685.15,0.09,594.2
26.29,27.49,26.26,685.15,0.09,594.0
26.29,27.49,26.26,685.15,0.09,594.0
26.29,27.49,26.26,685.15,0.09,594.2
26.29,27.49,26.26,685.15,0.09,594.2
26.26,27.49,26.26,685.15,0.11,594.0
26.26,27.49,26.26,685.15,0.11,594.0
26.29,27.42,26.26,685.15,0.09,594.0
26.29,27.42,26.26,685.15,0.09,594.0
26.26,27.38,26.27,685.15,0.09,590.73
26.26,27.38,26.27,685.15,0.09,590.73
26.11,27.42,26.27,685.15,0.09,590.53
26.11,27.42,26.27,685.15,0.09,590.53
25.95,27.38,26.28,685.15,0.09,584.39
25.95,27.38,26.28,685.15,0.09,584.39
25.92,27.38,26.29,685.15,0.09,580.51
25.92,27.38,26.29,685.15,0.09,580.51
25.92,27.38,26.27,685.15,0.09,580.31
25.92,27.38,26.27,685.15,0.09,580.31
26.14,27.42,26.27,685.15,0.09,580.1
26.14,27.42,26.27,685.15,0.09,580.1
25.92,27.49,26.27,685.15,0.09,587.05
25.92,27.49,26.27,685.15,0.09,587.05
26.26,27.42,26.28,685.15,0.09,587.05
26.26,27.42,26.28,685.15,0.09,587.05
26.29,27.38,26.29,685.15,0.09,594.0
26.29,27.38,26.29,685.15,0.09,594.0
26.29,27.38,26.28,685.15,0.09,594.0
26.29,27.38,26.28,685.15,0.09,594.0
26.27,27.42,26.28,685.15,0.09,592.77
26.27,27.42,26.28,685.15,0.09,592.77
26.01,27.42,26.27,685.15,0.09,587.05
26.01,27.42,26.27,685.15,0.09,587.05
25.99,27.42,26.28,685.15,0.09,580.1
25.99,27.42,26.28,685.15,0.09,580.1
26.27,27.38,26.3,685.15,0.09,580.1
26.27,27.38,26.3,685.15,0.09,580.1
25.99,27.42,26.28,685.15,0.09,581.74
25.99,27.42,26.28,685.15,0.09,581.74
26.2,27.49,26.28,685.15,0.11,592.36
26.2,27.49,26.28,685.15,0.11,592.36
26.29,27.42,26.27,685.15,0.09,594.0
26.29,27.42,26.27,685.15,0.09,594.0
26.29,27.38,26.3,685.15,0.09,594.0
26.29,27.38,26.3,685.15,0.09,594.0
26.28,27.42,26.28,685.15,0.09,587.05
26.28,27.42,26.28,685.15,0.09,587.05
25.92,27.49,26.27,685.15,0.11,581.94
25.92,27.49,26.27,685.15,0.11,581.94
25.92,27.42,26.29,685.15,0.09,580.1
25.92,27.42,26.29,685.15,0.09,580.1
25.92,27.42,26.28,685.15,0.09,590.53
25.92,27.42,26.28,685.15,0.09,590.53
26.29,27.49,26.28,685.15,0.09,594.82
26.29,27.49,26.28,685.15,0.09,594.82
26.29,27.42,26.29,685.15,0.11,588.89
26.29,27.42,26.29,685.15,0.11,588.89
26.22,27.42,26.29,685.15,0.09,581.74
26.22,27.42,26.29,685.15,0.09,581.74
25.94,27.49,26.27,685.15,0.09,580.1
25.94,27.49,26.27,685.15,0.09,580.1
26.2,27.42,26.29,685.15,0.09,587.05
26.2,27.42,26.29,685.15,0.09,587.05
26.27,27.42,26.28,685.15,0.09,594.0
26.27,27.42,26.28,685.15,0.09,594.0
26.29,27.42,26.28,685.15,0.11,594.0
26.29,27.42,26.28,685.15,0.11,594.0
26.28,27.42,26.29,685.15,0.09,587.05
26.28,27.42,26.29,685.15,0.09,587.05
26.1,27.42,26.29,685.15,0.09,580.1
26.1,27.42,26.29,685.15,0.09,580.1
26.11,27.42,26.28,685.15,0.09,580.72
26.11,27.42,26.28,685.15,0.09,580.72
26.29,27.38,26.3,685.15,0.09,593.39
26.29,27.38,26.3,685.15,0.09,593.39
26.23,27.42,26.29,685.15,0.09,594.0
26.23,27.42,26.29,685.15,0.09,594.0
26.29,27.42,26.28,685.15,0.09,587.05
26.29,27.42,26.28,685.15,0.09,587.05
25.94,27.38,26.31,685.15,0.11,580.1
25.94,27.38,26.31,685.15,0.11,580.1
26.27,27.38,26.29,685.15,0.09,580.31
26.27,27.38,26.29,685.15,0.09,580.31
26.01,27.42,26.29,685.15,0.09,587.05
26.01,27.42,26.29,685.15,0.09,587.05
26.29,27.42,26.3,685.15,0.09,594.0
26.29,27.42,26.3,685.15,0.09,594.0
26.29,27.42,26.29,685.15,0.11,594.0
26.29,27.42,26.29,685.15,0.11,594.0
26.11,27.49,26.28,685.15,0.09,591.14
26.11,27.49,26.28,685.15,0.09,591.14
26.14,27.42,26.29,685.15,0.11,580.1
26.14,27.42,26.29,685.15,0.11,580.1
26.12,27.42,26.29,685.15,0.09,580.72
26.12,27.42,26.29,685.15,0.09,580.72
25.95,27.38,26.29,685.15,0.11,581.94
25.95,27.38,26.29,685.15,0.11,581.94
26.07,27.42,26.3,685.15,0.09,587.05
26.07,27.42,26.3,685.15,0.09,587.05
26.28,27.49,26.28,685.15,0.11,592.77
26.28,27.49,26.28,685.15,0.11,592.77
26.28,27.42,26.3,685.15,0.11,594.0
26.28,27.42,26.3,685.15,0.11,594.0
26.29,27.42,26.3,685.15,0.09,599.31
26.29,27.42,26.3,685.15,0.09,599.31
26.29,27.38,26.31,685.15,0.11,587.05
26.29,27.38,26.31,685.15,0.11,587.05
26.23,27.42,26.29,685.15,0.11,585.21
26.23,27.42,26.29,685.15,0.11,585.21
26.0,27.49,26.3,685.15,0.09,580.51
26.0,27.49,26.3,685.15,0.09,580.51
26.29,27.49,26.28,685.15,0.09,580.1
26.29,27.49,26.28,685.15,0.09,580.1
25.94,27.49,26.29,685.15,0.09,580.1
25.94,27.49,26.29,685.15,0.09,580.1
26.0,27.42,26.3,685.15,0.11,580.1
26.0,27.42,26.3,685.15,0.11,580.1
26.01,27.42,26.3,685.15,0.11,587.05
26.01,27.42,26.3,685.15,0.11,587.05
26.29,27.38,26.32,685.15,0.09,587.05
26.29,27.38,26.32,685.15,0.09,587.05
26.29,27.38,26.3,685.15,0.09,588.89
26.29,27.38,26.3,685.15,0.09,588.89
